symbol,underlyingType,fundingTime,fundingRate,markPrice
TSLAUSDT,EQUITY,1780444800001,0.00000000,421.82140277
TSLAUSDT,EQUITY,1780473600001,0.00000000,420.46000000
TSLAUSDT,EQUITY,1780502400001,0.00000000,423.94919755
TSLAUSDT,EQUITY,1780531200001,0.00000000,420.16000000
TSLAUSDT,EQUITY,1780560000001,0.00000000,420.94520086
TSLAUSDT,EQUITY,1780588800001,0.00000000,418.93155005
TSLAUSDT,EQUITY,1780617600001,0.00000000,416.40000000
TSLAUSDT,EQUITY,1780646400001,0.00000000,417.09940682
TSLAUSDT,EQUITY,1780675200001,0.00000000,401.47000000
TSLAUSDT,EQUITY,1780704000001,0.00000000,391.00000000
TSLAUSDT,EQUITY,1780732800001,-0.00011033,385.46785728
TSLAUSDT,EQUITY,1780761600001,0.00005330,391.26149810
TSLAUSDT,EQUITY,1780790400002,0.00000000,393.91088423
TSLAUSDT,EQUITY,1780819200001,0.00000000,397.50780678
TSLAUSDT,EQUITY,1780848000001,0.00000000,394.94000000
TSLAUSDT,EQUITY,1780876800001,0.00000000,396.99428089
TSLAUSDT,EQUITY,1780905600001,0.00000000,394.45976875
TSLAUSDT,EQUITY,1780934400001,0.00000000,402.14000000
TSLAUSDT,EQUITY,1780963200001,0.00000000,408.83284600
TSLAUSDT,EQUITY,1780992000001,0.00000000,410.38305000
TSLAUSDT,EQUITY,1781020800001,0.00000000,392.30631221
TSLAUSDT,EQUITY,1781049600001,0.00000000,396.18542224
TSLAUSDT,EQUITY,1781078400001,0.00005928,393.20000000
TSLAUSDT,EQUITY,1781107200001,0.00000000,386.53000000
TSLAUSDT,EQUITY,1781136000001,0.00000000,379.07000000
TSLAUSDT,EQUITY,1781164800001,0.00000000,386.65725395
TSLAUSDT,EQUITY,1781193600001,0.00000000,386.31458583
TSLAUSDT,EQUITY,1781222400001,0.00000000,398.81274718
TSLAUSDT,EQUITY,1781251200001,0.00000000,398.08258972
TSLAUSDT,EQUITY,1781280000001,0.00000000,388.82000000
TSLAUSDT,EQUITY,1781308800001,-0.00012419,405.58109837
TSLAUSDT,EQUITY,1781337600001,0.00000000,405.02401008
TSLAUSDT,EQUITY,1781366400001,0.00005014,407.63376244
TSLAUSDT,EQUITY,1781395200001,0.00000000,406.79532643
TSLAUSDT,EQUITY,1781424000001,0.00000000,407.80000000
TSLAUSDT,EQUITY,1781452800001,0.00000000,406.56684518
TSLAUSDT,EQUITY,1781481600001,0.00036514,410.89000000
TSLAUSDT,EQUITY,1781510400002,0.00000000,411.28000000
TSLAUSDT,EQUITY,1781539200001,0.00000000,409.04000000
TSLAUSDT,EQUITY,1781568000001,0.00000000,408.98177964
TSLAUSDT,EQUITY,1781596800001,0.00000000,405.74000000
TSLAUSDT,EQUITY,1781625600001,0.00000000,405.98345543
TSLAUSDT,EQUITY,1781654400001,0.00000000,402.81605765
TSLAUSDT,EQUITY,1781683200001,0.00000000,404.29000000
TSLAUSDT,EQUITY,1781712000001,0.00000000,400.93389051
TSLAUSDT,EQUITY,1781740800001,0.00000000,397.78590058
TSLAUSDT,EQUITY,1781769600001,0.00000000,399.15000000
TSLAUSDT,EQUITY,1781798400001,0.00000000,390.73000000
TSLAUSDT,EQUITY,1781827200001,-0.00002348,398.41779615
TSLAUSDT,EQUITY,1781856000001,0.00000000,399.94000000
TSLAUSDT,EQUITY,1781884800001,0.00000000,399.26000000
TSLAUSDT,EQUITY,1781913600001,0.00000000,399.74570608
TSLAUSDT,EQUITY,1781942400001,0.00000000,402.13000000
TSLAUSDT,EQUITY,1781971200001,0.00000000,401.39000000
TSLAUSDT,EQUITY,1782000000001,0.00000000,401.48000000
TSLAUSDT,EQUITY,1782028800001,0.00000000,402.54000000
TSLAUSDT,EQUITY,1782057600001,0.00000000,402.67601530
TSLAUSDT,EQUITY,1782086400001,0.00000000,398.21000000
TSLAUSDT,EQUITY,1782115200001,0.00000000,395.20861602
TSLAUSDT,EQUITY,1782144000001,0.00000000,407.67000000
TSLAUSDT,EQUITY,1782172800001,0.00000000,403.34471622
TSLAUSDT,EQUITY,1782201600002,0.00000000,394.90924240
TSLAUSDT,EQUITY,1782230400001,0.00000000,383.89000000
TSLAUSDT,EQUITY,1782259200001,0.00033272,382.83000000
TSLAUSDT,EQUITY,1782288000001,0.00025458,383.93000000
